 CMS collision Energy =    13000.000000000000     
 Collider type = pp
 ======================================
    -1.25           69.8491           2.73262
    -0.75           89.9159           2.98985
    -0.25           93.1001           4.25569
     0.25           88.7556           2.88096
     0.75           85.3888           2.63091
     1.25           75.8317           3.43194
     1.75           59.6569           3.36354
     2.25           80.7266           24.2757
     2.75           21.2413           17.4179
     3.25                 0             1e-10
     3.75                 0             1e-10
     4.25                 0             1e-10
     4.75                 0             1e-10

  ----   l+/neu. pT     ----

     2.50                 0             1e-10
     7.50                 0             1e-10
    12.50                 0             1e-10
    17.50                 0             1e-10
    22.50           7.93551            4.6257
    27.50           59.3351           7.91949
    32.50           124.755           16.4686
    37.50           154.014           9.52772
    42.50           184.755           11.9514
    47.50           96.8379           8.55381
    52.50           53.1771            1.8843
    57.50           24.5977          0.809178
    62.50           14.1367          0.274115
    67.50           8.86738          0.163111
    72.50            5.6039          0.122846
    77.50           3.62184          0.128728
    82.50           2.69373          0.132321
    87.50           1.73108         0.0887903
    92.50           1.36561         0.0928667
    97.50          0.906199          0.076731

  ----   l+/neu. eta    ----

    -4.75                 0             1e-10
    -4.25                 0             1e-10
    -3.75                 0             1e-10
    -3.25                 0             1e-10
    -2.75           1.28303            3.2871
    -2.25             50.28           6.32062
    -1.75           55.4433           3.91747
    -1.25           83.7044           5.27338
    -0.75           82.5964           3.71074
    -0.25           96.4543           4.84796
     0.25           90.2994           4.75179
     0.75           164.162           66.5845
     1.25           77.9732           2.85586
     1.75           55.9874           4.02842
     2.25           43.0831           3.81761
     2.75           1.99403             2.314
     3.25                 0             1e-10
     3.75                 0             1e-10
     4.25                 0             1e-10
     4.75                 0             1e-10

  ----   jet 1 pT       ----

     2.50                 0             1e-10
     7.50                 0             1e-10
    12.50                 0             1e-10
    17.50            1.4336           0.50789
    22.50            47.333          0.906029
    27.50           33.6406          0.737402
    32.50           24.6771          0.623242
    37.50           19.3488          0.598379
    42.50           15.4301          0.501577
    47.50           11.3454          0.424784
    52.50             9.218          0.467888
    57.50           7.62608          0.481935
    62.50           6.14831          0.513069
    67.50           4.91742          0.362077
    72.50           4.23748          0.297448
    77.50           4.39085          0.378735
    82.50            2.8355          0.312592
    87.50           2.88503          0.339245
    92.50           2.18809          0.247895
    97.50           2.09148          0.244058

  ----   jet 1 eta      ----

    -4.75         0.0328252         0.0328445
    -4.25             1.214          0.070271
    -3.75           2.57349          0.115494
    -3.25           4.63251          0.153065
    -2.75           7.72148          0.163735
    -2.25           11.2674          0.201701
    -1.75           15.5671          0.255751
    -1.25           19.0261          0.269776
    -0.75           22.1324          0.287456
    -0.25           23.3437          0.275929
     0.25           23.8189          0.263883
     0.75            22.147          0.285708
     1.25            18.906          0.268362
     1.75           15.5574          0.251851
     2.25           11.4485           0.20443
     2.75           7.87324          0.170202
     3.25           4.80811          0.155281
     3.75           2.51987          0.120835
     4.25           1.15693         0.0699314
     4.75       -0.00686667           0.01263

  ----   jet 2 pT       ----

     2.50                 0             1e-10
     7.50                 0             1e-10
    12.50                 0             1e-10
    17.50          0.671931         0.0227106
    22.50           20.0017          0.208643
    27.50           12.8019          0.165877
    32.50           8.56338          0.138627
    37.50           6.03805          0.111126
    42.50           4.42953          0.105182
    47.50           3.09046         0.0902628
    52.50            2.4557         0.0649574
    57.50           1.87489         0.0492932
    62.50           1.53095         0.0576279
    67.50           1.19373         0.0406527
    72.50           1.05613         0.0410746
    77.50           0.77227         0.0378602
    82.50          0.717736         0.0368371
    87.50          0.626159         0.0313956
    92.50          0.520464          0.026823
    97.50          0.416483         0.0274201

  ----   jet 2 eta      ----

    -4.75         0.0128496        0.00177386
    -4.25          0.614945          0.032535
    -3.75           1.19664         0.0370537
    -3.25           1.86733         0.0480168
    -2.75           2.71739         0.0563334
    -2.25           3.92229          0.070385
    -1.75           4.98195         0.0766018
    -1.25           5.96156          0.091414
    -0.75           6.81324         0.0833732
    -0.25            7.1191         0.0905345
     0.25           7.14067          0.086868
     0.75           6.88662         0.0802803
     1.25           6.03399         0.0762077
     1.75           5.01627         0.0735763
     2.25           3.91578         0.0692387
     2.75           2.74139         0.0578052
     3.25           1.82632         0.0527506
     3.75           1.18878          0.035682
     4.25          0.592895         0.0324047
     4.75         0.0112625        0.00148297

  ----   phot. pT       ----

     2.50                 0             1e-10
     7.50          0.177009         0.0132431
    12.50           4.69669         0.0964751
    17.50           1.95319         0.0454716
    22.50          0.449875         0.0125328
    27.50          0.138785        0.00577261
    32.50         0.0742598        0.00408467
    37.50         0.0579921        0.00417344
    42.50         0.0311026        0.00260111
    47.50         0.0279365        0.00287512
    52.50         0.0175462        0.00199721
    57.50         0.0133491        0.00177567
    62.50        0.00955234        0.00129427
    67.50          0.010585        0.00182622
    72.50        0.00409197       0.000675053
    77.50         0.0047689       0.000846282
    82.50        0.00272828       0.000547666
    87.50        0.00422371       0.000908891
    92.50        0.00412765        0.00095964
    97.50        0.00240596       0.000611218

  ----   phot. eta      ----

    -4.75                 0             1e-10
    -4.25                 0             1e-10
    -3.75                 0             1e-10
    -3.25                 0             1e-10
    -2.75        0.00726316        0.00146262
