#Data tag : online , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/ub) | recorded(/ub) |
| 258694:4477 | 10/09/15 19:55:27 | 177  | 177  | 15998623.673   | 15219679.888  |
| 258702:4479 | 10/10/15 07:31:21 | 351  | 351  | 30308876.898   | 29093248.654  |
| 258703:4479 | 10/10/15 09:48:30 | 389  | 389  | 32051682.515   | 31138680.065  |
| 258705:4479 | 10/10/15 13:01:34 | 100  | 100  | 7822201.271    | 7604760.367   |
| 258706:4479 | 10/10/15 13:44:18 | 733  | 733  | 53509756.467   | 52122692.407  |
| 258712:4479 | 10/10/15 18:36:26 | 524  | 524  | 35417226.914   | 34495799.123  |
| 258713:4479 | 10/10/15 22:03:19 | 161  | 161  | 10407188.252   | 10164347.291  |
| 258714:4479 | 10/10/15 23:06:33 | 67   | 67   | 4269575.382    | 4168945.356   |
| 258741:4485 | 10/11/15 15:12:30 | 51   | 51   | 4819183.698    | 4446752.908   |
| 258742:4485 | 10/11/15 15:37:24 | 692  | 692  | 61255120.759   | 59299810.293  |
| 258745:4485 | 10/11/15 20:12:22 | 260  | 260  | 21599676.538   | 20966777.757  |
| 258749:4485 | 10/11/15 22:08:51 | 589  | 589  | 45841046.596   | 44752319.500  |
| 258750:4485 | 10/12/15 02:08:14 | 197  | 197  | 14667128.022   | 14330984.460  |
| 259626:4518 | 10/20/15 04:22:04 | 353  | 353  | 11019692.484   | 10822596.544  |
| 259637:4519 | 10/20/15 11:55:23 | 219  | 219  | 15208358.435   | 14838753.649  |
| 259681:4522 | 10/21/15 02:10:07 | 35   | 35   | 3262636.086    | 1866936.539   |
| 259683:4522 | 10/21/15 02:51:43 | 88   | 88   | 7570633.917    | 7326059.360   |
| 259685:4522 | 10/21/15 03:31:12 | 623  | 623  | 53725030.994   | 52131753.303  |
| 259686:4522 | 10/21/15 07:40:55 | 336  | 336  | 26368027.922   | 25621352.962  |
| 259721:4525 | 10/21/15 21:49:33 | 334  | 334  | 11560642.761   | 11233249.877  |
| 259809:4528 | 10/23/15 01:19:55 | 170  | 170  | 13961602.768   | 13415540.397  |
| 259810:4528 | 10/23/15 02:27:57 | 114  | 114  | 9458087.157    | 9213536.606   |
| 259811:4528 | 10/23/15 03:14:40 | 89   | 89   | 7250093.703    | 6958703.081   |
| 259813:4528 | 10/23/15 03:55:28 | 10   | 10   | 808607.346     | 696989.195    |
| 259817:4528 | 10/23/15 04:12:46 | 5    | 5    | 402387.728     | 338781.444    |
| 259818:4528 | 10/23/15 04:16:25 | 160  | 160  | 12702175.737   | 12345301.694  |
| 259820:4528 | 10/23/15 05:28:06 | 158  | 158  | 12201922.095   | 11764360.572  |
| 259821:4528 | 10/23/15 06:36:07 | 210  | 210  | 14279596.239   | 13847071.055  |
| 259822:4528 | 10/23/15 08:06:27 | 462  | 462  | 32077970.812   | 31298033.706  |
| 259861:4530 | 10/23/15 22:04:22 | 152  | 152  | 13160763.980   | 12753403.990  |
| 259862:4530 | 10/23/15 23:06:58 | 530  | 530  | 43949079.613   | 42639175.757  |
| 259884:4532 | 10/24/15 16:31:58 | 80   | 80   | 6611084.512    | 6228050.692   |
| 259890:4532 | 10/24/15 17:20:01 | 107  | 107  | 9306130.722    | 8940297.429   |
| 259891:4532 | 10/24/15 18:06:49 | 108  | 108  | 9213691.145    | 8847861.645   |
| 260373:4555 | 10/30/15 10:18:37 | 360  | 360  | 10296517.165   | 10082072.543  |
| 260424:4557 | 10/30/15 18:40:06 | 666  | 666  | 65288755.681   | 63075300.274  |
| 260425:4557 | 10/30/15 23:06:36 | 252  | 252  | 23064677.345   | 22346537.163  |
| 260426:4557 | 10/31/15 01:02:23 | 499  | 499  | 42844443.163   | 41726987.678  |
| 260427:4557 | 10/31/15 04:25:46 | 285  | 285  | 22587353.013   | 21945420.635  |
| 260431:4557 | 10/31/15 06:31:22 | 447  | 447  | 34170778.042   | 33250906.885  |
| 260532:4560 | 11/01/15 04:26:38 | 742  | 742  | 69928822.450   | 67960158.045  |
| 260533:4560 | 11/01/15 09:24:23 | 14   | 14   | 1245290.906    | 1170954.582   |
| 260534:4560 | 11/01/15 09:34:18 | 375  | 375  | 32229749.174   | 31284221.960  |
| 260536:4560 | 11/01/15 12:11:50 | 177  | 177  | 14447408.107   | 14070611.637  |
| 260538:4560 | 11/01/15 13:29:58 | 284  | 284  | 22318969.921   | 21698510.458  |
| 260541:4560 | 11/01/15 15:25:55 | 24   | 24   | 1842062.394    | 1771604.629   |
| 260575:4562 | 11/01/15 21:37:56 | 20   | 20   | 1891463.139    | 1681737.625   |
| 260576:4562 | 11/01/15 21:49:30 | 463  | 463  | 50885700.494   | 47844312.347  |
| 260577:4562 | 11/02/15 00:53:22 | 76   | 76   | 8183499.966    | 7858938.175   |
| 260593:4565 | 11/02/15 08:42:24 | 337  | 337  | 35310370.931   | 33318468.559  |
| 260627:4569 | 11/02/15 19:06:16 | 1740 | 1740 | 171385419.869  | 164681593.193 |
+-------------+-------------------+------+------+----------------+---------------+
#Summary: 
+-------+------+-------+-------+-------------------+------------------+
| nfill | nrun | nls   | ncms  | totdelivered(/ub) | totrecorded(/ub) |
+-------+------+-------+-------+-------------------+------------------+
| 47    | 116  | 33213 | 33213 | 2244133999.446    | 2169126704.526   |
+-------+------+-------+-------+-------------------+------------------+
