#Data tag : online , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/ub) | recorded(/ub) |
| 258702:4479 | 10/10/15 07:31:21 | 351  | 351  | 32909719.900   | 31593447.906  |
| 258703:4479 | 10/10/15 09:48:30 | 389  | 389  | 34738929.010   | 33749411.575  |
| 258705:4479 | 10/10/15 13:01:34 | 100  | 100  | 8450632.729    | 8215733.522   |
| 258706:4479 | 10/10/15 13:44:18 | 733  | 733  | 57585416.124   | 56093496.201  |
| 258712:4479 | 10/10/15 18:36:26 | 524  | 524  | 37898277.818   | 36912048.837  |
| 258713:4479 | 10/10/15 22:03:19 | 161  | 161  | 11128389.088   | 10868729.417  |
| 258714:4479 | 10/10/15 23:06:33 | 67   | 67   | 4570661.608    | 4462940.479   |
| 258741:4485 | 10/11/15 15:12:30 | 51   | 51   | 5308753.892    | 4899047.520   |
| 258742:4485 | 10/11/15 15:37:24 | 692  | 692  | 67529699.325   | 65372682.457  |
| 258745:4485 | 10/11/15 20:12:22 | 260  | 260  | 23504003.502   | 22816248.664  |
| 258749:4485 | 10/11/15 22:08:51 | 589  | 589  | 49178502.971   | 48011842.080  |
| 258750:4485 | 10/12/15 02:08:14 | 197  | 197  | 15670309.877   | 15311166.469  |
| 259626:4518 | 10/20/15 04:22:04 | 353  | 353  | 11923939.095   | 11712048.776  |
| 259637:4519 | 10/20/15 11:55:23 | 219  | 219  | 16238521.437   | 15843833.799  |
| 259681:4522 | 10/21/15 02:10:07 | 35   | 35   | 3522075.932    | 2006428.466   |
| 259683:4522 | 10/21/15 02:51:43 | 88   | 88   | 8078902.846    | 7819251.131   |
| 259685:4522 | 10/21/15 03:31:12 | 623  | 623  | 57546687.605   | 55840194.407  |
| 259686:4522 | 10/21/15 07:40:55 | 336  | 336  | 28167061.624   | 27370553.667  |
| 259721:4525 | 10/21/15 21:49:33 | 334  | 334  | 12766726.230   | 12400448.429  |
| 259809:4528 | 10/23/15 01:19:55 | 170  | 170  | 14951741.295   | 14370193.633  |
| 259810:4528 | 10/23/15 02:27:57 | 114  | 114  | 10165998.080   | 9903086.201   |
| 259811:4528 | 10/23/15 03:14:40 | 89   | 89   | 7791667.150    | 7470396.336   |
| 259813:4528 | 10/23/15 03:55:28 | 10   | 10   | 865658.417     | 746162.774    |
| 259817:4528 | 10/23/15 04:12:46 | 5    | 5    | 430314.760     | 362610.422    |
| 259818:4528 | 10/23/15 04:16:25 | 160  | 160  | 13593974.896   | 13212055.400  |
| 259820:4528 | 10/23/15 05:28:06 | 158  | 158  | 13023747.118   | 12560062.290  |
| 259821:4528 | 10/23/15 06:36:07 | 210  | 210  | 16688292.395   | 16180451.962  |
| 259822:4528 | 10/23/15 08:06:27 | 461  | 461  | 33464085.107   | 32721804.046  |
| 259861:4530 | 10/23/15 22:04:22 | 152  | 152  | 14155844.097   | 13728819.142  |
| 259862:4530 | 10/23/15 23:06:58 | 530  | 530  | 47268844.797   | 45860217.938  |
| 259884:4532 | 10/24/15 16:31:58 | 80   | 80   | 7143126.771    | 6731111.093   |
| 259890:4532 | 10/24/15 17:20:01 | 107  | 107  | 10096941.110   | 9701207.990   |
| 259891:4532 | 10/24/15 18:06:49 | 108  | 108  | 9999933.427    | 9603195.320   |
| 260373:4555 | 10/30/15 10:18:37 | 360  | 360  | 11151316.640   | 10920147.469  |
| 260424:4557 | 10/30/15 18:40:06 | 666  | 666  | 69025255.475   | 66688251.029  |
| 260425:4557 | 10/30/15 23:06:36 | 252  | 252  | 24359916.200   | 23599504.405  |
| 260426:4557 | 10/31/15 01:02:23 | 499  | 499  | 45105840.468   | 43930543.476  |
| 260427:4557 | 10/31/15 04:25:46 | 285  | 285  | 23749270.464   | 23075331.363  |
| 260431:4557 | 10/31/15 06:31:22 | 447  | 447  | 36097791.380   | 35126694.498  |
| 260532:4560 | 11/01/15 04:26:38 | 742  | 742  | 71167380.483   | 69168656.005  |
| 260533:4560 | 11/01/15 09:24:23 | 14   | 14   | 1271083.770    | 1195476.609   |
| 260534:4560 | 11/01/15 09:34:18 | 375  | 375  | 33011855.207   | 32043973.431  |
| 260536:4560 | 11/01/15 12:11:50 | 177  | 177  | 14853812.840   | 14466413.325  |
| 260538:4560 | 11/01/15 13:29:58 | 284  | 284  | 23008065.482   | 22368836.359  |
| 260541:4560 | 11/01/15 15:25:55 | 24   | 24   | 1902645.781    | 1829959.151   |
| 260575:4562 | 11/01/15 21:37:56 | 20   | 20   | 1921606.212    | 1721667.572   |
| 260576:4562 | 11/01/15 21:49:30 | 463  | 463  | 54696773.377   | 51428554.394  |
| 260577:4562 | 11/02/15 00:53:22 | 76   | 76   | 8592324.703    | 8251536.906   |
| 260593:4565 | 11/02/15 08:42:24 | 337  | 337  | 38029477.673   | 35893405.704  |
| 260627:4569 | 11/02/15 19:06:16 | 1740 | 1740 | 186195320.533  | 178937353.997 |
+-------------+-------------------+------+------+----------------+---------------+
#Summary: 
+-------+------+-------+-------+-------------------+------------------+
| nfill | nrun | nls   | ncms  | totdelivered(/ub) | totrecorded(/ub) |
+-------+------+-------+-------+-------------------+------------------+
| 47    | 115  | 33208 | 33208 | 2398189324.732    | 2318278305.882   |
+-------+------+-------+-------+-------------------+------------------+
#Check JSON:
#(run,ls) in json but not in results: []
