#Data tag : v1 , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/ub) | recorded(/ub) |
| 274094:4953 | 05/27/16 02:21:04 | 225  | 225  | 10454152.292   | 10059427.765  |
| 274146:4956 | 05/27/16 22:10:11 | 67   | 67   | 5818070.537    | 5531270.939   |
| 274159:4958 | 05/28/16 14:43:47 | 43   | 43   | 4141223.565    | 3668736.593   |
| 274160:4958 | 05/28/16 15:02:52 | 207  | 207  | 19354916.342   | 18560369.363  |
| 274161:4958 | 05/28/16 16:26:18 | 516  | 516  | 45025248.362   | 43482410.731  |
| 274172:4960 | 05/29/16 00:45:19 | 65   | 65   | 7202589.465    | 6380273.172   |
| 274198:4961 | 05/29/16 20:00:35 | 111  | 111  | 13790709.700   | 12694886.888  |
| 274199:4961 | 05/29/16 20:45:19 | 623  | 623  | 72395859.039   | 69534024.918  |
| 274200:4961 | 05/30/16 00:52:14 | 678  | 678  | 68894868.908   | 66848538.298  |
| 274240:4964 | 05/30/16 13:59:19 | 81   | 81   | 10941009.177   | 10328978.619  |
| 274241:4964 | 05/30/16 14:43:35 | 1168 | 1166 | 142237614.308  | 137315787.867 |
| 274244:4964 | 05/30/16 22:32:25 | 607  | 607  | 62919159.908   | 60928715.632  |
| 274250:4965 | 05/31/16 05:56:17 | 701  | 701  | 102808469.700  | 97297157.532  |
| 274251:4965 | 05/31/16 10:30:54 | 546  | 546  | 69299417.994   | 67084377.583  |
| 274283:4976 | 06/01/16 03:25:26 | 18   | 18   | 2980148.882    | 358761.932    |
| 274284:4976 | 06/01/16 03:34:51 | 210  | 208  | 32602464.070   | 30760422.968  |
| 274286:4976 | 06/01/16 05:04:18 | 154  | 154  | 23237001.511   | 22240953.083  |
| 274314:4979 | 06/01/16 15:02:56 | 61   | 61   | 10853863.504   | 9756511.369   |
| 274315:4979 | 06/01/16 15:32:32 | 424  | 423  | 71859092.089   | 68207093.787  |
| 274316:4979 | 06/01/16 18:20:25 | 959  | 959  | 138674865.288  | 134065238.812 |
| 274317:4979 | 06/02/16 00:39:53 | 3    | 3    | 397106.450     | 310073.517    |
| 274319:4979 | 06/02/16 00:56:19 | 225  | 225  | 29056246.526   | 28103257.785  |
| 274335:4980 | 06/02/16 09:10:43 | 944  | 944  | 152993017.083  | 146491732.457 |
| 274336:4980 | 06/02/16 15:25:02 | 14   | 14   | 2062375.831    | 1790263.505   |
| 274337:4980 | 06/02/16 15:33:18 | 15   | 15   | 2199109.630    | 1831090.279   |
| 274338:4980 | 06/02/16 15:41:22 | 698  | 698  | 97017132.286   | 91493706.851  |
| 274339:4980 | 06/02/16 20:15:40 | 90   | 90   | 11604663.227   | 11141237.459  |
| 274344:4980 | 06/02/16 21:27:09 | 632  | 632  | 75098771.935   | 72607704.210  |
| 274345:4980 | 06/03/16 01:37:46 | 170  | 170  | 18841757.390   | 18266582.622  |
| 274382:4984 | 06/03/16 15:37:56 | 51   | 51   | 8189288.918    | 7622787.273   |
| 274387:4985 | 06/03/16 19:10:09 | 352  | 352  | 63273677.370   | 59660679.277  |
| 274388:4985 | 06/03/16 21:32:38 | 1820 | 1820 | 270810636.784  | 261038800.403 |
| 274420:4988 | 06/04/16 20:17:21 | 175  | 175  | 30260632.752   | 28799015.579  |
| 274421:4988 | 06/04/16 21:28:04 | 342  | 342  | 57588871.090   | 55267231.822  |
| 274422:4988 | 06/04/16 23:46:51 | 2207 | 2207 | 293872359.224  | 284957505.173 |
| 274440:4990 | 06/05/16 19:32:38 | 402  | 402  | 67961369.250   | 65179944.181  |
| 274441:4990 | 06/05/16 22:13:06 | 431  | 431  | 67851076.814   | 65643264.358  |
| 274442:4990 | 06/06/16 01:05:09 | 752  | 752  | 105162026.148  | 101738861.928 |
| 274954:5005 | 06/11/16 09:40:51 | 20   | 20   | 1190249.403    | 990679.863    |
| 274955:5005 | 06/11/16 09:52:07 | 91   | 91   | 5140195.806    | 4903780.935   |
| 274968:5013 | 06/11/16 22:51:22 | 1192 | 1192 | 207879416.872  | 198787386.103 |
| 274969:5013 | 06/12/16 06:41:54 | 1003 | 1003 | 139617937.245  | 130136824.076 |
| 274970:5013 | 06/12/16 13:12:54 | 47   | 47   | 5862019.157    | 4426188.047   |
| 274971:5013 | 06/12/16 13:33:30 | 905  | 905  | 103786644.679  | 100582997.672 |
| 274998:5017 | 06/13/16 04:19:54 | 719  | 719  | 122581285.182  | 115887084.725 |
| 274999:5017 | 06/13/16 09:04:45 | 1241 | 1241 | 173324632.161  | 167346833.683 |
| 275000:5017 | 06/13/16 17:15:35 | 136  | 136  | 16815130.514   | 16276448.639  |
| 275001:5017 | 06/13/16 18:12:42 | 2057 | 2057 | 209271135.310  | 203827216.709 |
| 275059:5020 | 06/14/16 16:49:52 | 37   | 37   | 6877324.014    | 6237815.233   |
| 275066:5020 | 06/14/16 17:45:35 | 96   | 96   | 19692977.855   | 18717462.852  |
| 275067:5020 | 06/14/16 18:28:40 | 392  | 392  | 75485267.286   | 72728810.479  |
| 275068:5020 | 06/14/16 21:09:42 | 915  | 915  | 151733692.518  | 145890403.924 |
| 275073:5020 | 06/15/16 03:32:47 | 517  | 517  | 72503656.980   | 69945928.163  |
| 275074:5020 | 06/15/16 07:00:06 | 646  | 646  | 80523110.021   | 78014694.422  |
| 275124:5021 | 06/15/16 17:50:26 | 324  | 324  | 59978768.325   | 57282239.944  |
| 275125:5021 | 06/15/16 20:00:21 | 989  | 989  | 160052764.907  | 153206070.148 |
| 275282:5024 | 06/17/16 00:06:15 | 90   | 90   | 15958545.105   | 15120897.318  |
| 275283:5024 | 06/17/16 00:43:11 | 132  | 132  | 23908288.560   | 22765754.482  |
| 275284:5024 | 06/17/16 01:36:53 | 74   | 74   | 13124232.274   | 12635751.870  |
| 275290:5024 | 06/17/16 03:58:56 | 48   | 48   | 7826889.557    | 2724125.194   |
| 275291:5024 | 06/17/16 04:28:35 | 347  | 347  | 54355870.901   | 52618068.750  |
| 275292:5024 | 06/17/16 06:46:47 | 121  | 121  | 16753877.815   | 15968243.944  |
| 275293:5024 | 06/17/16 07:37:27 | 200  | 200  | 26526045.049   | 25627096.583  |
| 275309:5026 | 06/17/16 13:48:15 | 563  | 563  | 87362845.578   | 84180084.990  |
| 275310:5026 | 06/17/16 17:32:53 | 1929 | 1929 | 235746937.755  | 228559917.513 |
| 275311:5026 | 06/18/16 06:07:07 | 1253 | 1253 | 113312978.963  | 110613086.238 |
| 275319:5027 | 06/18/16 18:56:15 | 142  | 142  | 26341486.164   | 24989475.511  |
| 275337:5027 | 06/18/16 21:26:04 | 427  | 427  | 72966623.834   | 70068728.197  |
| 275338:5027 | 06/19/16 00:15:37 | 520  | 520  | 79636149.671   | 77062388.059  |
| 275344:5028 | 06/19/16 08:18:25 | 281  | 281  | 53514428.820   | 51398067.798  |
| 275345:5028 | 06/19/16 10:12:11 | 353  | 353  | 63567312.865   | 60786304.289  |
| 275370:5029 | 06/19/16 16:19:29 | 285  | 285  | 55494709.257   | 52765296.013  |
| 275371:5029 | 06/19/16 18:16:49 | 564  | 564  | 100710700.188  | 96379521.539  |
| 275375:5030 | 06/20/16 02:17:12 | 1323 | 1323 | 218952195.951  | 210811736.697 |
| 275376:5030 | 06/20/16 10:55:04 | 3095 | 3095 | 341868114.470  | 332911666.521 |
| 275657:5038 | 06/24/16 03:32:32 | 105  | 105  | 21937109.237   | 20104258.744  |
| 275658:5038 | 06/24/16 04:16:07 | 337  | 337  | 69497987.536   | 65783229.906  |
| 275659:5038 | 06/24/16 06:31:38 | 17   | 17   | 3357247.185    | 3242784.743   |
| 275761:5043 | 06/25/16 04:24:16 | 9    | 9    | 1949288.484    | 1706814.919   |
| 275767:5043 | 06/25/16 05:31:36 | 4    | 4    | 818324.436     | 722032.655    |
| 275772:5043 | 06/25/16 06:28:17 | 56   | 56   | 11014076.350   | 10594354.027  |
| 275773:5043 | 06/25/16 06:53:33 | 7    | 7    | 1355066.115    | 1209542.133   |
| 275774:5043 | 06/25/16 07:01:55 | 312  | 312  | 58980735.214   | 56385797.450  |
| 275776:5043 | 06/25/16 09:11:23 | 140  | 140  | 25114010.321   | 23844819.394  |
| 275777:5043 | 06/25/16 10:12:24 | 300  | 300  | 51196623.620   | 49161764.584  |
| 275778:5043 | 06/25/16 12:13:15 | 305  | 305  | 48727864.264   | 46971370.652  |
| 275782:5043 | 06/25/16 14:44:49 | 761  | 761  | 106332765.903  | 102352560.172 |
| 275832:5045 | 06/26/16 17:18:04 | 367  | 367  | 79186136.678   | 74243062.618  |
| 275833:5045 | 06/26/16 19:45:07 | 248  | 248  | 49203388.925   | 47422478.958  |
| 275834:5045 | 06/26/16 21:26:02 | 297  | 297  | 55309087.090   | 53227355.782  |
| 275835:5045 | 06/26/16 23:24:23 | 13   | 13   | 2328383.364    | 2121590.895   |
| 275836:5045 | 06/26/16 23:32:00 | 1277 | 1277 | 198713871.771  | 189644121.048 |
| 275837:5045 | 06/27/16 07:59:11 | 715  | 715  | 88581900.718   | 85911906.190  |
| 275847:5045 | 06/27/16 13:59:22 | 2263 | 2263 | 210336072.522  | 205316609.057 |
| 275886:5048 | 06/28/16 08:40:35 | 37   | 37   | 8224673.781    | 7744154.853   |
| 275890:5048 | 06/28/16 09:27:45 | 1392 | 1392 | 251016489.773  | 241038016.589 |
| 275911:5052 | 06/29/16 01:49:35 | 377  | 377  | 78195417.814   | 74878108.405  |
| 275912:5052 | 06/29/16 04:21:23 | 289  | 289  | 55383586.960   | 53245958.710  |
| 275913:5052 | 06/29/16 06:19:55 | 475  | 475  | 82677952.709   | 78576586.835  |
| 275918:5052 | 06/29/16 09:29:20 | 332  | 332  | 52855026.780   | 51039088.804  |
| 275920:5052 | 06/29/16 11:56:25 | 459  | 459  | 65578552.281   | 62972829.338  |
| 275921:5052 | 06/29/16 14:59:30 | 8    | 8    | 1101040.168    | 1032540.440   |
| 275923:5052 | 06/29/16 15:17:42 | 114  | 114  | 15360789.558   | 14915918.861  |
| 275931:5052 | 06/29/16 16:34:22 | 85   | 85   | 11034897.908   | 10722080.834  |
| 275963:5056 | 06/30/16 01:02:54 | 90   | 90   | 21060811.178   | 19953501.924  |
| 276092:5060 | 07/01/16 02:14:32 | 76   | 76   | 16118847.415   | 15083053.906  |
| 276097:5060 | 07/01/16 03:07:31 | 507  | 507  | 105900452.415  | 101625242.318 |
| 276242:5069 | 07/02/16 14:05:34 | 1644 | 1644 | 289402593.736  | 275473847.283 |
| 276243:5069 | 07/03/16 00:56:20 | 608  | 608  | 84829446.705   | 80002977.126  |
| 276244:5069 | 07/03/16 05:04:17 | 1200 | 1200 | 141385790.371  | 136344065.622 |
| 276282:5071 | 07/03/16 18:15:01 | 1066 | 1066 | 219081620.105  | 210161541.213 |
| 276283:5071 | 07/04/16 01:14:13 | 1085 | 1085 | 177987831.837  | 171192116.106 |
| 276315:5072 | 07/04/16 11:19:05 | 175  | 175  | 36496967.049   | 34592805.682  |
| 276317:5072 | 07/04/16 12:33:38 | 136  | 136  | 27889503.574   | 26892256.997  |
| 276318:5072 | 07/04/16 13:30:33 | 566  | 566  | 103830608.988  | 100279131.747 |
| 276355:5073 | 07/04/16 21:39:48 | 33   | 33   | 6611317.250    | 6337750.950   |
| 276361:5073 | 07/04/16 22:36:15 | 824  | 824  | 159102040.261  | 153033538.256 |
| 276363:5073 | 07/05/16 04:07:36 | 1478 | 1478 | 221745815.863  | 212058213.970 |
| 276384:5073 | 07/05/16 13:47:06 | 1116 | 1116 | 128872089.668  | 125193608.313 |
| 276437:5076 | 07/06/16 02:58:47 | 2125 | 2125 | 379474108.177  | 364937772.598 |
| 276454:5076 | 07/06/16 18:08:15 | 527  | 527  | 67781643.254   | 65824328.594  |
| 276458:5076 | 07/07/16 02:00:22 | 341  | 341  | 35011894.215   | 34208739.803  |
| 276495:5078 | 07/07/16 11:20:57 | 182  | 182  | 40740299.446   | 38883684.433  |
| 276501:5078 | 07/07/16 12:47:40 | 2543 | 2543 | 427158923.798  | 411670895.729 |
| 276502:5078 | 07/08/16 05:21:18 | 740  | 740  | 90678372.774   | 87951123.579  |
| 276525:5080 | 07/08/16 14:15:18 | 2786 | 2786 | 427358293.948  | 413058119.501 |
| 276527:5080 | 07/09/16 08:34:41 | 214  | 214  | 23836739.979   | 23093998.094  |
| 276528:5080 | 07/09/16 10:01:49 | 391  | 391  | 40594494.723   | 39543412.387  |
| 276542:5083 | 07/09/16 16:32:22 | 784  | 784  | 159488899.246  | 151715866.299 |
| 276543:5083 | 07/09/16 21:39:40 | 948  | 948  | 157667754.853  | 151987535.534 |
| 276544:5083 | 07/10/16 03:53:47 | 160  | 160  | 23528973.214   | 22599776.026  |
| 276545:5083 | 07/10/16 04:59:24 | 206  | 206  | 28356618.048   | 27386707.571  |
| 276581:5085 | 07/10/16 12:24:16 | 366  | 366  | 78780112.140   | 75636838.564  |
| 276582:5085 | 07/10/16 14:52:29 | 871  | 871  | 158962100.695  | 153540104.533 |
| 276583:5085 | 07/10/16 20:34:28 | 52   | 52   | 8477041.094    | 8046310.347   |
| 276584:5085 | 07/10/16 20:59:17 | 2    | 2    | 324354.078     | 177293.086    |
| 276585:5085 | 07/10/16 21:31:21 | 242  | 242  | 37401125.740   | 35841452.444  |
| 276586:5085 | 07/10/16 23:10:31 | 751  | 751  | 102906202.370  | 99526396.503  |
| 276587:5085 | 07/11/16 04:14:31 | 1006 | 1006 | 114887616.860  | 110778975.673 |
| 276653:5091 | 07/12/16 00:12:31 | 479  | 479  | 91709025.825   | 88382468.945  |
| 276655:5091 | 07/12/16 03:26:27 | 1105 | 1105 | 176130409.215  | 165414641.285 |
| 276659:5091 | 07/12/16 10:39:13 | 251  | 251  | 33639422.953   | 30782867.099  |
| 276775:5093 | 07/12/16 21:26:43 | 1164 | 1164 | 223502253.545  | 212273692.403 |
| 276776:5093 | 07/13/16 05:02:29 | 1823 | 1823 | 251525585.117  | 242982640.483 |
| 276794:5093 | 07/13/16 17:05:19 | 885  | 885  | 92205563.745   | 89856377.590  |
| 276807:5095 | 07/14/16 03:24:10 | 155  | 155  | 32957303.768   | 31086349.677  |
| 276808:5095 | 07/14/16 04:28:59 | 875  | 875  | 167947647.043  | 161488158.437 |
| 276810:5095 | 07/14/16 10:15:44 | 287  | 287  | 47916479.715   | 45897433.991  |
| 276811:5095 | 07/14/16 12:15:34 | 2562 | 2562 | 320406282.561  | 310487543.429 |
| 276831:5096 | 07/15/16 07:47:46 | 2634 | 2634 | 420615722.181  | 404581240.112 |
| 276834:5096 | 07/16/16 01:42:10 | 720  | 720  | 75729140.592   | 72742312.446  |
| 276870:5097 | 07/16/16 11:02:01 | 3403 | 3403 | 548872203.095  | 528752593.956 |
| 276935:5101 | 07/17/16 23:39:55 | 824  | 824  | 180562843.968  | 171023943.697 |
| 276940:5102 | 07/18/16 08:13:36 | 144  | 144  | 34349947.485   | 29053601.737  |
| 276946:5102 | 07/18/16 09:56:36 | 27   | 27   | 6230809.114    | 4295556.749   |
| 276947:5102 | 07/18/16 10:11:19 | 132  | 132  | 29515753.847   | 24807797.016  |
| 276948:5102 | 07/18/16 11:09:47 | 474  | 474  | 96198316.378   | 86520728.775  |
| 276950:5102 | 07/18/16 14:16:45 | 2353 | 2353 | 337163116.817  | 322818643.439 |
| 277069:5105 | 07/19/16 17:52:15 | 309  | 309  | 82323236.611   | 78644686.819  |
| 277070:5105 | 07/19/16 19:54:11 | 1058 | 1058 | 227621433.354  | 216053443.897 |
| 277071:5105 | 07/20/16 02:48:37 | 171  | 171  | 30617541.589   | 27545992.049  |
| 277072:5105 | 07/20/16 04:01:41 | 464  | 464  | 74806972.078   | 72196462.715  |
| 277073:5105 | 07/20/16 07:09:53 | 90   | 90   | 13696586.936   | 13277528.916  |
| 277076:5105 | 07/20/16 07:55:58 | 1033 | 1033 | 136192297.386  | 130931810.349 |
| 277087:5105 | 07/20/16 17:49:22 | 988  | 988  | 92192602.011   | 89028085.823  |
| 277094:5106 | 07/21/16 04:03:56 | 582  | 582  | 136564683.553  | 131061348.419 |
| 277096:5106 | 07/21/16 07:56:14 | 2085 | 2085 | 330284563.981  | 317658635.749 |
| 277112:5106 | 07/21/16 21:29:34 | 155  | 155  | 17750434.793   | 17121689.881  |
