#Data tag : v1 , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/ub) | recorded(/ub) |
| 279993:5277 | 09/04/16 00:23:27 | 72   | 72   | 19311312.251   | 18107518.438  |
| 279994:5277 | 09/04/16 00:56:48 | 47   | 47   | 13067548.637   | 12330675.544  |
| 280013:5277 | 09/04/16 03:35:47 | 25   | 25   | 5776749.078    | 5548579.832   |
| 280015:5277 | 09/04/16 03:55:19 | 572  | 572  | 117479741.095  | 113054018.253 |
| 280016:5277 | 09/04/16 07:42:16 | 149  | 149  | 26913974.142   | 25957976.234  |
| 280017:5277 | 09/04/16 08:45:47 | 608  | 608  | 98155211.274   | 95328073.563  |
| 280018:5277 | 09/04/16 12:47:05 | 1281 | 1281 | 158013959.022  | 153881356.213 |
| 280020:5277 | 09/04/16 21:15:15 | 45   | 45   | 4611334.121    | 4444247.446   |
| 280024:5277 | 09/04/16 21:47:39 | 427  | 427  | 41016718.117   | 40270355.874  |
| 280187:5279 | 09/05/16 20:24:23 | 57   | 57   | 14518564.108   | 13127697.882  |
| 280188:5279 | 09/05/16 20:50:25 | 244  | 244  | 63328008.336   | 60737203.523  |
| 280191:5279 | 09/05/16 22:40:17 | 897  | 897  | 182806347.914  | 176237363.536 |
| 280194:5279 | 09/06/16 05:36:21 | 238  | 238  | 36940922.882   | 35838516.820  |
| 280242:5282 | 09/06/16 15:43:40 | 625  | 625  | 151974335.053  | 145906651.370 |
| 280249:5282 | 09/06/16 19:52:07 | 1432 | 1432 | 240797255.028  | 233024892.454 |
| 280251:5282 | 09/07/16 05:14:58 | 371  | 371  | 46790366.749   | 45578316.638  |
| 280327:5287 | 09/08/16 08:23:13 | 37   | 37   | 9518526.117    | 8675949.563   |
| 280330:5287 | 09/08/16 08:46:53 | 857  | 857  | 189836929.013  | 182835178.673 |
| 280349:5287 | 09/08/16 14:27:22 | 620  | 620  | 104633636.441  | 101204556.278 |
| 280363:5287 | 09/08/16 18:47:24 | 358  | 358  | 49416158.936   | 47820078.765  |
| 280364:5287 | 09/08/16 21:09:57 | 1349 | 1349 | 155294463.508  | 149864421.300 |
| 280383:5288 | 09/09/16 08:41:13 | 2    | 2    | 544570.645     | 246947.886    |
| 280384:5288 | 09/09/16 08:49:12 | 33   | 33   | 8299124.377    | 7705510.776   |
| 280385:5288 | 09/09/16 09:11:36 | 2009 | 2009 | 372028786.458  | 358596325.081 |
| 281613:5331 | 09/25/16 06:03:32 | 795  | 795  | 11487440.845   | 9854674.014   |
| 281639:5338 | 09/26/16 07:45:13 | 132  | 132  | 20571836.658   | 19308561.265  |
| 281641:5338 | 09/26/16 09:34:34 | 319  | 319  | 41360322.099   | 39613347.666  |
| 281693:5339 | 09/26/16 16:57:00 | 2191 | 2191 | 392728483.387  | 379804278.697 |
| 281707:5340 | 09/27/16 09:47:29 | 950  | 950  | 225794855.227  | 216465977.581 |
| 281726:5340 | 09/27/16 16:14:38 | 288  | 288  | 51200920.194   | 49464989.568  |
| 281727:5340 | 09/27/16 18:10:03 | 1605 | 1605 | 207327623.571  | 201466481.515 |
| 281797:5345 | 09/28/16 12:04:48 | 2052 | 2052 | 413469854.352  | 398620485.181 |
| 281975:5351 | 09/30/16 03:23:12 | 215  | 215  | 59073617.958   | 54523652.056  |
| 281976:5351 | 09/30/16 04:48:03 | 2166 | 2166 | 352036719.298  | 338598800.239 |
| 282033:5352 | 09/30/16 21:30:43 | 36   | 36   | 9033933.730    | 8327947.959   |
| 282034:5352 | 09/30/16 21:48:05 | 33   | 33   | 9438032.470    | 8729371.868   |
| 282035:5352 | 09/30/16 22:03:01 | 40   | 40   | 11076253.195   | 9524276.564   |
| 282037:5352 | 09/30/16 22:24:14 | 1861 | 1861 | 343182581.833  | 329266232.384 |
| 282092:5355 | 10/02/16 13:49:37 | 1784 | 1784 | 304526329.614  | 294671285.974 |
| 282708:5391 | 10/09/16 08:39:30 | 8    | 8    | 2547917.334    | 2160599.894   |
| 282710:5391 | 10/09/16 08:49:08 | 3    | 3    | 934770.734     | 352830.258    |
| 282712:5391 | 10/09/16 09:00:13 | 60   | 60   | 17684808.205   | 16840355.138  |
| 282730:5393 | 10/09/16 12:41:53 | 76   | 76   | 22804075.895   | 20857667.775  |
| 282731:5393 | 10/09/16 13:13:59 | 172  | 172  | 51085077.503   | 48237440.181  |
| 282732:5393 | 10/09/16 14:23:16 | 69   | 69   | 19031942.192   | 18284544.448  |
| 282733:5393 | 10/09/16 14:52:26 | 177  | 177  | 45341279.024   | 43619653.201  |
| 282734:5393 | 10/09/16 16:03:11 | 327  | 327  | 73790131.914   | 71106404.022  |
| 282735:5393 | 10/09/16 18:12:39 | 1819 | 1819 | 277999820.025  | 270177409.787 |
| 282800:5394 | 10/10/16 14:17:15 | 377  | 377  | 98295213.517   | 94605087.663  |
| 282807:5394 | 10/10/16 16:48:03 | 326  | 326  | 75031655.424   | 71097903.843  |
| 282814:5394 | 10/10/16 18:58:58 | 1843 | 1843 | 285006831.047  | 276259358.841 |
| 282842:5395 | 10/11/16 10:34:00 | 80   | 80   | 24701468.965   | 23708711.477  |
| 282917:5401 | 10/12/16 01:27:07 | 74   | 74   | 18991825.934   | 18051035.433  |
| 282918:5401 | 10/12/16 02:00:22 | 51   | 51   | 13498784.826   | 12937703.224  |
| 282919:5401 | 10/12/16 02:23:36 | 243  | 243  | 59499988.528   | 57372140.853  |
| 282922:5401 | 10/12/16 05:09:33 | 131  | 131  | 27369837.460   | 25522683.554  |
| 282923:5401 | 10/12/16 06:04:20 | 219  | 219  | 42453472.479   | 40424937.856  |
| 283042:5405 | 10/12/16 22:38:59 | 6    | 6    | 1610035.976    | 1426262.224   |
| 283043:5405 | 10/12/16 22:44:16 | 517  | 517  | 122150089.294  | 116923995.274 |
| 283049:5406 | 10/13/16 05:05:17 | 12   | 12   | 3948864.711    | 3175222.346   |
| 283050:5406 | 10/13/16 05:13:23 | 212  | 212  | 62273752.155   | 58159827.051  |
| 283052:5406 | 10/13/16 06:45:19 | 111  | 111  | 30137774.645   | 28724167.593  |
| 283059:5406 | 10/13/16 08:00:56 | 450  | 450  | 102640188.832  | 98464345.267  |
| 283270:5416 | 10/14/16 18:39:48 | 1833 | 1833 | 406825300.135  | 393348293.650 |
| 283283:5416 | 10/15/16 06:37:08 | 1744 | 1744 | 204123369.687  | 199162973.260 |
| 283305:5418 | 10/15/16 21:41:13 | 7    | 7    | 2271208.815    | 1468373.056   |
| 283306:5418 | 10/15/16 21:46:57 | 289  | 289  | 83271283.671   | 79753465.869  |
| 283307:5418 | 10/15/16 23:43:44 | 454  | 454  | 107612893.869  | 103024139.007 |
| 283308:5418 | 10/16/16 02:46:26 | 945  | 945  | 169124917.771  | 162810277.577 |
| 283353:5421 | 10/16/16 19:55:17 | 743  | 743  | 203888346.357  | 196744016.169 |
| 283358:5421 | 10/17/16 00:50:19 | 980  | 980  | 183861994.210  | 174647926.367 |
| 283359:5421 | 10/17/16 07:15:19 | 428  | 428  | 62497452.073   | 61017106.154  |
| 283407:5423 | 10/17/16 21:54:07 | 33   | 33   | 11530301.093   | 10350223.503  |
| 283408:5423 | 10/17/16 22:10:43 | 2344 | 2344 | 485261224.203  | 468706298.690 |
| 283416:5423 | 10/18/16 15:16:09 | 195  | 195  | 22324237.177   | 21710440.570  |
| 283453:5424 | 10/18/16 19:07:49 | 455  | 455  | 132441859.653  | 126900159.057 |
| 283469:5426 | 10/19/16 01:09:36 | 1    | 1    | 346471.267     | 32409.918     |
| 283478:5427 | 10/19/16 04:13:19 | 874  | 874  | 223575762.573  | 215218492.960 |
| 283548:5433 | 10/19/16 22:58:39 | 144  | 144  | 28034753.509   | 27112199.291  |
| 283680:5437 | 10/21/16 03:17:51 | 81   | 81   | 20387062.788   | 19593987.672  |
| 283681:5437 | 10/21/16 03:56:07 | 17   | 17   | 4152869.423    | 3944255.395   |
| 283682:5437 | 10/21/16 04:08:38 | 384  | 384  | 84952988.264   | 82392457.329  |
| 283685:5437 | 10/21/16 06:39:38 | 314  | 314  | 21641605.328   | 20533632.993  |
| 283820:5439 | 10/21/16 20:48:18 | 1482 | 1482 | 274123570.457  | 265195044.609 |
| 283830:5439 | 10/22/16 06:27:24 | 722  | 722  | 106560350.245  | 103658499.606 |
| 283834:5439 | 10/22/16 11:11:28 | 81   | 81   | 10342362.658   | 9084641.260   |
| 283835:5439 | 10/22/16 11:45:28 | 111  | 111  | 13073070.734   | 11393895.634  |
| 283865:5441 | 10/22/16 17:30:09 | 1177 | 1177 | 281024008.146  | 271670050.285 |
| 283876:5442 | 10/23/16 03:38:50 | 657  | 657  | 176441457.469  | 169866310.909 |
| 283877:5442 | 10/23/16 07:59:53 | 1496 | 1496 | 257189641.897  | 249158191.484 |
| 283884:5443 | 10/23/16 23:44:05 | 404  | 404  | 110358373.627  | 105448031.980 |
| 283885:5443 | 10/24/16 02:25:30 | 1723 | 1723 | 302696395.460  | 294124870.832 |
| 283933:5446 | 10/24/16 18:32:31 | 145  | 145  | 43993913.865   | 41985913.639  |
| 283934:5446 | 10/24/16 19:33:15 | 1258 | 1258 | 285199749.346  | 274706870.136 |
| 283946:5448 | 10/25/16 07:30:41 | 1377 | 1377 | 317838816.968  | 305993369.026 |
| 283964:5448 | 10/25/16 16:29:30 | 388  | 388  | 60390964.890   | 58543785.032  |
| 284006:5450 | 10/26/16 01:53:26 | 318  | 318  | 60223423.398   | 58157778.573  |
| 284014:5450 | 10/26/16 03:59:16 | 266  | 266  | 49372530.451   | 48066268.945  |
| 284025:5451 | 10/26/16 08:56:43 | 48   | 48   | 13036637.653   | 12583193.951  |
| 284029:5451 | 10/26/16 09:19:00 | 112  | 112  | 32689238.993   | 30804684.136  |
| 284035:5451 | 10/26/16 10:04:52 | 360  | 360  | 92443671.484   | 89396412.205  |
| 284036:5451 | 10/26/16 12:28:09 | 346  | 346  | 75716459.139   | 72605320.113  |
| 284037:5451 | 10/26/16 14:48:03 | 340  | 340  | 64697370.576   | 62712872.883  |
| 284038:5451 | 10/26/16 17:02:16 | 55   | 55   | 9713092.331    | 9110978.366   |
| 284039:5451 | 10/26/16 17:27:02 | 30   | 30   | 5198550.826    | 4797843.936   |
| 284040:5451 | 10/26/16 17:42:18 | 33   | 33   | 5648015.748    | 5442365.513   |
| 284041:5451 | 10/26/16 17:59:11 | 44   | 44   | 7198110.374    | 6789121.400   |
| 284042:5451 | 10/26/16 18:23:53 | 129  | 129  | 20494337.274   | 19605486.861  |
| 284043:5451 | 10/26/16 19:17:23 | 220  | 220  | 32207619.422   | 31472838.443  |
| 284044:5451 | 10/26/16 20:46:05 | 30   | 30   | 4330758.435    | 4246045.687   |
+-------------+-------------------+------+------+----------------+---------------+
#Summary: 
+-------+------+--------+--------+-------------------+------------------+
| nfill | nrun | nls    | ncms   | totdelivered(/ub) | totrecorded(/ub) |
+-------+------+--------+--------+-------------------+------------------+
| 144   | 392  | 231819 | 231801 | 37961071130.734   | 36417624743.959  |
+-------+------+--------+--------+-------------------+------------------+
#Check JSON:
#(run,ls) in json but not in results: []
